,GSM461176_untreated_single,GSM461177_untreated_paired,GSM461178_untreated_paired,GSM461179_treated_single,GSM461180_treated_paired,GSM461181_treated_paired,GSM461182_untreated_single
FBgn0085804,0,0,0,0,0,0,0
FBgn0267431,3,0,0,11,2,0,0
FBgn0039987,0,0,0,0,0,0,0
FBgn0058182,0,0,0,0,0,0,0
FBgn0267430,0,0,0,2,1,0,0
FBgn0266747,0,0,0,0,0,0,0
FBgn0086917,2,0,0,2,0,0,0
FBgn0010247,689,343,285,1267,392,319,673
FBgn0086378,711,422,519,1371,523,496,844
FBgn0263977,1899,774,841,2450,950,900,1056
FBgn0069923,28,5,11,54,18,15,23
FBgn0039955,1222,570,481,1378,463,466,871
FBgn0259821,259,151,125,559,311,331,164
FBgn0027341,24,13,13,42,12,17,9
FBgn0085812,4,4,0,2,1,2,0
FBgn0058198,79,48,43,71,36,33,52
FBgn0037213,819,621,516,1094,797,1128,615
FBgn0053294,161,64,62,188,31,78,74
FBgn0000500,5,2,6,7,8,10,1
FBgn0037215,9644,6382,7073,8385,5998,7135,6521
FBgn0037217,84,92,73,69,64,95,51
FBgn0037218,4278,2783,2646,3869,2822,3456,2765
FBgn0051516,34,18,22,24,24,24,23
FBgn0261436,1333,1009,1082,1235,925,1307,865
FBgn0037220,2826,1970,2106,2429,2023,2555,1836
FBgn0015331,1676,1075,1099,1444,1124,1479,1012
FBgn0010225,29530,18910,21020,19900,14137,16678,16415
FBgn0037222,817,485,499,507,252,388,373
FBgn0085334,198,66,116,68,34,39,36
FBgn0037223,89,45,41,12,12,18,45
FBgn0037224,7,4,7,2,3,0,7
FBgn0037225,173,79,104,180,102,120,74
FBgn0250821,113,43,81,106,74,78,60
FBgn0037227,29,0,4,44,9,5,4
FBgn0041621,26,9,17,25,7,7,7
FBgn0037228,24508,12665,15274,27733,16494,19917,14233
FBgn0037229,87,37,56,95,40,50,43
FBgn0267157,1,0,2,1,0,0,3
FBgn0041605,118,57,46,164,81,85,28
FBgn0037230,27,18,14,28,15,21,9
FBgn0262214,0,0,1,1,0,1,0
FBgn0027930,2357,1439,1587,2322,1751,2171,1464
FBgn0037231,1143,653,720,877,601,830,470
FBgn0037232,491,312,343,487,254,356,359
FBgn0261086,34,24,22,34,25,22,28
FBgn0037234,1313,754,688,1384,799,952,724
FBgn0027866,4205,2491,2500,3668,2344,2754,2215
FBgn0037236,1985,1214,1309,2065,1220,1544,1357
FBgn0040687,0,0,0,0,0,0,0
FBgn0037235,1676,875,1034,1717,937,1283,1115
FBgn0261434,6,0,1,1,0,1,0
FBgn0037238,55,44,25,34,20,24,22
FBgn0266227,18,2,2,51,2,0,3
FBgn0037239,1863,1191,1332,901,727,832,1105
FBgn0037240,3351,1926,1747,4262,2624,3232,1533
FBgn0003882,1963,1188,1295,1709,1243,1537,1204
FBgn0037241,1136,677,798,1091,811,1035,782
FBgn0086608,58,40,46,75,51,54,35
FBgn0267661,29,25,15,31,12,14,19
FBgn0037242,245,104,108,189,106,121,99
FBgn0086605,1255,820,728,1121,746,854,697
FBgn0037244,575,338,410,491,368,445,326
FBgn0266697,14,6,6,10,0,13,4
FBgn0263594,21944,13753,14174,23081,14738,17530,12451
FBgn0052944,57,26,26,49,42,28,45
FBgn0051528,3,4,0,8,4,16,0
FBgn0037248,4328,2310,2227,3368,2001,2288,2427
FBgn0051525,63,48,35,87,44,44,53
FBgn0037249,15843,13372,13258,14579,13342,15327,11138
FBgn0037250,468,252,319,440,331,352,267
FBgn0037251,8,5,4,12,5,7,3
FBgn0264983,0,0,0,0,0,0,0
FBgn0037252,3648,2324,2168,3036,2421,2956,2125
FBgn0051522,1465,885,781,1442,995,1278,895
FBgn0263620,184,91,102,163,139,134,84
FBgn0051523,12544,6637,6344,7225,4031,4553,8207
FBgn0037254,14,14,6,17,8,10,7
FBgn0037255,2454,1717,1640,2095,1562,1990,1081
FBgn0085386,244,133,152,277,192,213,129
FBgn0085454,1,4,1,3,1,0,0
FBgn0051526,9,23,3,26,6,15,6
FBgn0037260,37,10,8,40,15,21,12
FBgn0052945,0,2,0,2,0,0,0
FBgn0267118,1,0,0,2,0,0,0
FBgn0265376,1,0,0,4,3,2,0
FBgn0087012,5,3,8,20,13,10,7
FBgn0267233,0,0,0,2,0,0,0
FBgn0037261,2646,2033,1821,2667,2005,2356,1837
FBgn0037262,1356,681,715,1156,890,1000,630
FBgn0037263,18,13,8,19,15,18,18
FBgn0040466,342,118,140,390,185,281,190
FBgn0022981,3,1,3,7,0,2,0
FBgn0265038,1,0,0,0,0,0,0
FBgn0087013,17611,13387,14185,15141,13305,15748,12389
FBgn0037265,355,207,198,288,174,247,175
FBgn0263346,4496,2695,2289,3811,2616,3185,1915
FBgn0265039,3,1,1,1,0,0,0
FBgn0265040,2,0,0,2,5,0,2
FBgn0053927,1,2,1,2,0,0,0
FBgn0037270,9693,6921,8372,7649,7992,9690,6009
FBgn0266228,3,0,0,0,0,0,0
FBgn0027570,53,58,46,35,20,28,34
FBgn0026620,6949,3883,3589,6875,3908,4411,3912
FBgn0010750,1911,1092,1301,1360,1314,1591,973
FBgn0264907,4,1,1,10,4,7,2
FBgn0264897,0,0,0,1,0,0,0
FBgn0037275,19,5,10,40,7,7,11
FBgn0037276,9,3,3,7,0,2,0
FBgn0260794,13095,9063,7422,12102,9568,10799,6877
FBgn0026417,231,194,218,422,248,284,237
FBgn0037279,1983,1348,1294,2070,1304,1408,1567
FBgn0037280,1,0,2,5,0,2,0
FBgn0037282,1612,1135,1099,1581,1114,1410,1101
FBgn0037283,1,0,2,0,0,0,0
FBgn0037284,0,0,0,1,0,0,0
FBgn0003002,30,0,3,14,2,0,5
FBgn0020280,0,0,0,1,0,0,0
FBgn0267140,0,0,0,1,0,0,1
FBgn0004913,3376,2245,2040,3070,1907,2431,2046
FBgn0265082,7201,4683,4427,5781,4435,5372,3566
FBgn0266698,5,2,1,3,2,0,1
FBgn0004183,1,0,0,5,2,1,1
FBgn0004436,4703,1791,1765,3671,1493,1799,2102
FBgn0037288,2,2,2,2,3,0,0
FBgn0250839,6,0,2,8,2,1,1
FBgn0037290,31,20,16,302,168,204,32
FBgn0037291,2,2,2,4,0,1,2
FBgn0263455,0,0,0,0,0,0,0
FBgn0263343,1,0,1,2,0,0,2
FBgn0037292,0,0,0,1,0,4,0
FBgn0267145,1,0,0,0,1,0,0
FBgn0263626,2,0,0,1,4,0,2
FBgn0267148,3,2,6,6,4,0,3
FBgn0010313,110,96,51,150,79,82,41
FBgn0262605,2,0,0,0,0,0,0
FBgn0037293,1304,942,1060,1236,870,1070,828
FBgn0040684,1,0,0,3,0,2,0
FBgn0037295,6,2,0,6,1,0,0
FBgn0037294,1,0,0,2,2,0,0
FBgn0259212,7361,4888,4177,5901,4345,5065,3761
FBgn0263018,3,3,0,6,4,1,1
FBgn0037296,13,11,2,17,8,9,3
FBgn0037297,625,377,431,612,360,516,333
FBgn0037298,2232,1673,1678,2285,1924,2463,1388
FBgn0040682,9,3,10,6,7,5,9
FBgn0037299,955,581,664,868,534,733,509
FBgn0040208,1998,1349,1272,1536,1390,1612,1113
FBgn0037301,1690,1104,1107,1835,1304,1535,1103
FBgn0087005,7,6,0,7,3,4,1
FBgn0260462,10032,7617,8166,9270,7413,9578,5985
FBgn0053293,9,8,18,11,4,3,3
FBgn0264789,47,67,47,91,35,44,128
FBgn0037304,21,10,11,14,16,13,8
FBgn0037305,909,570,785,1195,718,979,701
FBgn0264785,3099,2033,1960,2496,1705,2190,1830
FBgn0037307,14,1,4,6,5,10,4
FBgn0267443,59,29,32,29,20,18,31
FBgn0266393,0,0,0,0,0,0,0
FBgn0013576,5977,3908,3621,4015,2851,3274,3578
FBgn0051538,26,17,13,31,15,11,24
FBgn0037310,4,4,2,3,0,1,2
FBgn0037312,2955,2253,2475,2143,2349,3127,1959
FBgn0037313,2584,1776,2222,2018,1667,2293,1899
FBgn0250746,2517,1892,2112,2808,2542,3101,1908
FBgn0037315,3751,2869,2767,3456,2637,3388,1898
FBgn0264912,3,6,4,7,0,7,4
FBgn0085306,0,0,0,0,0,0,0
FBgn0051542,0,0,0,0,0,0,0
FBgn0003275,1197,722,903,1131,857,1085,793
FBgn0086695,679,502,503,512,445,565,477
FBgn0037317,418,151,237,291,213,274,175
FBgn0041707,2,4,9,7,5,9,3
FBgn0001311,24,22,16,32,27,30,10
FBgn0037320,0,2,1,2,0,0,0
FBgn0011965,0,0,0,0,0,0,0
FBgn0264712,2027,1236,1198,1649,1149,1407,1215
FBgn0037322,0,0,0,0,0,0,0
FBgn0037323,2,0,0,1,4,0,1
FBgn0037324,2,0,0,0,3,3,2
FBgn0037326,20,1,2,23,4,3,1
FBgn0037325,42,0,1,14,1,0,0
FBgn0037327,7944,5129,5347,6442,5054,6345,4631
FBgn0037328,42489,26695,30272,26184,26927,31851,19811
FBgn0037329,1066,764,852,792,757,963,617
FBgn0037330,682,428,447,709,588,723,481
FBgn0011715,2057,1275,1416,1732,1525,1907,1216
FBgn0025825,0,0,0,0,0,0,0
FBgn0266539,0,0,0,0,0,0,0
FBgn0037332,603,359,319,601,388,485,375
FBgn0015402,1375,967,869,1169,999,1223,724
FBgn0051550,2563,1754,1539,2041,1749,2114,1101
FBgn0051547,28,29,20,30,25,12,14
FBgn0010399,12,7,4,21,8,15,8
FBgn0010051,5264,3752,3332,4438,3657,3760,2897
FBgn0264427,8,5,4,9,12,3,2
FBgn0037336,2843,1916,1780,2664,1776,1960,1624
FBgn0014342,351,211,244,393,284,348,245
FBgn0086768,1423,1006,1168,1331,989,1516,950
FBgn0037338,522,284,311,558,314,312,296
FBgn0037339,2225,1341,1437,2174,1502,1835,1161
FBgn0263484,0,2,1,3,2,0,3
FBgn0037340,297,165,222,322,264,289,186
FBgn0037341,543,274,331,354,304,355,354
FBgn0037342,715,476,480,620,502,634,478
FBgn0041191,2028,941,1076,1332,832,1006,1071
FBgn0023023,536,400,397,601,483,476,403
FBgn0037344,9179,5862,4699,6836,5172,6059,3982
FBgn0037345,299,133,140,350,152,203,129
FBgn0014366,1137,719,761,1104,790,893,648
FBgn0015324,8928,4968,5077,8209,4914,6124,5898
FBgn0250753,14967,7606,7699,15593,7487,8625,8431
FBgn0082961,8,5,1,4,0,2,7
FBgn0082962,10,2,3,8,1,2,9
FBgn0082978,10,1,2,7,3,1,3
FBgn0082979,2,2,3,8,5,2,6
FBgn0082954,2,0,2,5,1,0,3
FBgn0086662,3,4,5,7,4,8,1
FBgn0082988,2,1,0,7,1,0,3
FBgn0082989,1,0,0,0,1,0,0
