GeneID	GSM6160812	GSM6160813	GSM6160814	GSM6160821	GSM6160822	GSM6160823
100287102	8	11	9	10	6	6
653635	329	377	345	350	324	317
102466751	5	7	2	6	6	7
107985730	1	1	0	0	0	0
100302278	0	1	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	54	53	53	33	39	32
729737	54	62	54	36	41	34
102725121	18	22	25	18	14	19
102723897	397	404	403	374	397	359
102465909	4	2	3	4	4	5
107985721	0	2	0	0	2	0
112268260	4	9	6	6	7	3
729759	0	1	0	0	0	0
100132287	91	88	72	62	74	51
105378947	0	0	0	0	0	0
101928626	0	0	0	0	0	0
113219467	18659	20997	22607	14947	18583	17549
81399	3	3	3	1	1	2
100133331	153	144	128	117	127	100
107984841	31	39	25	13	26	29
107984847	55	35	25	31	28	23
107984849	4	5	2	3	0	4
100288069	41	45	43	30	31	32
105378580	7	15	11	11	19	21
400728	2	1	3	1	3	4
79854	22	15	14	38	37	28
643837	429	465	467	418	439	470
107984850	0	0	0	0	0	0
284593	3	5	4	3	3	6
284600	111	125	116	61	91	70
100130417	180	174	152	221	222	254
107985728	204	244	168	388	393	380
148398	1254	1442	1385	2256	2314	2127
26155	4242	4411	4260	4542	4534	4328
339451	496	471	481	445	410	385
84069	236	256	251	541	525	490
84808	35	44	34	124	80	111
57801	442	504	412	601	538	540
9636	1690	1832	1842	2151	1982	1928
375790	13643	13831	12729	10738	11195	9914
100288175	45	64	45	126	131	121
112267874	15	17	22	32	36	30
105378948	54	55	46	122	114	99
401934	7	5	7	9	10	10
54991	524	575	513	512	555	416
254099	0	0	0	0	0	0
406984	1	0	0	0	0	0
406983	0	0	0	0	0	0
554210	1	4	0	1	0	1
100506376	0	0	0	0	0	0
254173	0	0	0	0	0	0
8784	2	0	0	0	2	2
7293	0	0	2	2	3	3
51150	4774	5171	5180	4993	5437	4781
126792	996	1242	1279	1153	1109	1116
388581	13	12	20	14	7	14
118424	1390	1411	1593	1614	1520	1489
101928895	49	53	41	17	39	31
6339	160	158	162	86	92	65
116983	1467	1524	1545	1137	1174	979
102465434	1	1	0	0	2	0
109623456	5	6	4	2	2	1
126789	439	405	431	480	419	418
54973	1988	2134	2209	2004	2012	1841
102465435	1	3	3	1	4	1
80772	926	967	969	1172	1137	1018
83756	70	38	40	47	62	59
1855	2258	2266	2294	3917	3658	3365
102466740	3	3	3	4	4	6
54587	194	197	184	294	235	254
54998	2770	3023	3054	2771	2856	2513
81669	2879	2937	2843	2747	2882	2772
148413	536	578	574	526	536	556
55052	1775	1863	1950	1745	1802	1723
