GENEID	DE_STATUS
FBGN0026562	TRUE
FBGN0003360	TRUE
FBGN0039155	TRUE
FBGN0025111	TRUE
FBGN0029167	TRUE
FBGN0035085	TRUE
FBGN0039827	TRUE
FBGN0264475	TRUE
FBGN0034736	TRUE
FBGN0000071	TRUE
FBGN0029896	TRUE
FBGN0038832	TRUE
FBGN0027279	TRUE
FBGN0035189	TRUE
FBGN0040091	TRUE
FBGN0001226	TRUE
FBGN0040099	TRUE
FBGN0023479	TRUE
FBGN0039419	TRUE
FBGN0011260	TRUE
FBGN0264753	TRUE
FBGN0262733	TRUE
FBGN0261552	TRUE
FBGN0033913	TRUE
FBGN0037754	TRUE
FBGN0031150	TRUE
FBGN0051363	TRUE
FBGN0052407	TRUE
FBGN0051092	TRUE
FBGN0283658	TRUE
FBGN0034010	TRUE
FBGN0035147	TRUE
FBGN0003748	TRUE
FBGN0001224	TRUE
FBGN0037468	TRUE
FBGN0261596	TRUE
FBGN0264437	TRUE
FBGN0040827	TRUE
FBGN0283437	TRUE
FBGN0039109	TRUE
FBGN0016715	TRUE
FBGN0261673	TRUE
FBGN0085359	TRUE
FBGN0024288	TRUE
FBGN0037290	TRUE
FBGN0050147	TRUE
FBGN0063649	TRUE
FBGN0038149	TRUE
FBGN0259715	TRUE
FBGN0053307	TRUE
FBGN0001137	TRUE
FBGN0003137	TRUE
FBGN0031322	TRUE
FBGN0001225	TRUE
FBGN0040271	TRUE
FBGN0032405	TRUE
FBGN0261584	TRUE
FBGN0039464	TRUE
FBGN0260011	TRUE
FBGN0024315	TRUE
FBGN0051523	TRUE
FBGN0033367	TRUE
FBGN0000406	TRUE
FBGN0039257	TRUE
FBGN0261800	TRUE
FBGN0036985	TRUE
FBGN0002868	TRUE
FBGN0030237	TRUE
FBGN0001258	TRUE
FBGN0265276	TRUE
FBGN0262057	TRUE
FBGN0031449	TRUE
FBGN0063498	TRUE
FBGN0032004	TRUE
FBGN0033635	TRUE
FBGN0267992	TRUE
FBGN0031327	TRUE
FBGN0037239	TRUE
FBGN0051038	TRUE
FBGN0263232	TRUE
FBGN0031805	TRUE
FBGN0030041	TRUE
FBGN0051642	TRUE
FBGN0039479	TRUE
FBGN0024491	TRUE
FBGN0037153	TRUE
FBGN0052521	TRUE
FBGN0034885	TRUE
FBGN0034389	TRUE
FBGN0027580	TRUE
FBGN0000116	TRUE
FBGN0051195	TRUE
FBGN0051337	TRUE
FBGN0032598	TRUE
FBGN0013763	TRUE
FBGN0034638	TRUE
FBGN0050069	TRUE
FBGN0023549	TRUE
FBGN0036373	TRUE
FBGN0261560	TRUE
FBGN0040398	TRUE
FBGN0022160	TRUE
FBGN0004369	TRUE
FBGN0036684	TRUE
FBGN0036299	TRUE
FBGN0051431	TRUE
FBGN0040388	TRUE
FBGN0037683	TRUE
FBGN0035968	TRUE
FBGN0031359	TRUE
FBGN0004396	TRUE
FBGN0053516	TRUE
FBGN0038528	TRUE
FBGN0052625	TRUE
FBGN0005593	TRUE
FBGN0030805	TRUE
FBGN0032956	TRUE
FBGN0000567	TRUE
FBGN0028514	TRUE
FBGN0003502	TRUE
FBGN0039714	TRUE
FBGN0031374	TRUE
FBGN0028990	TRUE
FBGN0033426	TRUE
FBGN0261284	TRUE
FBGN0034438	TRUE
FBGN0038198	TRUE
FBGN0043364	TRUE
FBGN0004893	TRUE
FBGN0050463	TRUE
