Symbol	GSM6160812	GSM6160813	GSM6160814	GSM6160821	GSM6160822	GSM6160823
DDX11L1	8	11	9	10	6	6
WASH7P	329	377	345	350	324	317
MIR6859-1	5	7	2	6	6	7
MIR1302-2HG	1	1	0	0	0	0
MIR1302-2	0	1	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
LOC100996442	54	53	53	33	39	32
LOC729737	54	62	54	36	41	34
DDX11L17	18	22	25	18	14	19
WASH9P	397	404	403	374	397	359
MIR6859-2	4	2	3	4	4	5
LOC107985721	0	2	0	0	2	0
LOC112268260	4	9	6	6	7	3
OR4F29	0	1	0	0	0	0
LOC100132287	91	88	72	62	74	51
LOC105378947	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0
MIR12136	18659	20997	22607	14947	18583	17549
OR4F16	3	3	3	1	1	2
LOC100133331	153	144	128	117	127	100
LOC107984841	31	39	25	13	26	29
LOC107984847	55	35	25	31	28	23
LOC107984849	4	5	2	3	0	4
LOC100288069	41	45	43	30	31	32
LINC01409	7	15	11	11	19	21
FAM87B	2	1	3	1	3	4
LINC00115	22	15	14	38	37	28
LINC01128	429	465	467	418	439	470
LOC107984850	0	0	0	0	0	0
FAM41C	3	5	4	3	3	6
LOC284600	111	125	116	61	91	70
LINC02593	180	174	152	221	222	254
LOC107985728	204	244	168	388	393	380
SAMD11	1254	1442	1385	2256	2314	2127
NOC2L	4242	4411	4260	4542	4534	4328
KLHL17	496	471	481	445	410	385
PLEKHN1	236	256	251	541	525	490
PERM1	35	44	34	124	80	111
HES4	442	504	412	601	538	540
ISG15	1690	1832	1842	2151	1982	1928
AGRN	13643	13831	12729	10738	11195	9914
LOC100288175	45	64	45	126	131	121
LOC112267874	15	17	22	32	36	30
LOC105378948	54	55	46	122	114	99
RNF223	7	5	7	9	10	10
C1orf159	524	575	513	512	555	416
LINC01342	0	0	0	0	0	0
MIR200B	1	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	1	4	0	1	0	1
TTLL10-AS1	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0
TNFRSF18	2	0	0	0	2	2
TNFRSF4	0	0	2	2	3	3
SDF4	4774	5171	5180	4993	5437	4781
B3GALT6	996	1242	1279	1153	1109	1116
C1QTNF12	13	12	20	14	7	14
UBE2J2	1390	1411	1593	1614	1520	1489
LINC01786	49	53	41	17	39	31
SCNN1D	160	158	162	86	92	65
ACAP3	1467	1524	1545	1137	1174	979
MIR6726	1	1	0	0	2	0
SNORD167	5	6	4	2	2	1
PUSL1	439	405	431	480	419	418
INTS11	1988	2134	2209	2004	2012	1841
MIR6727	1	3	3	1	4	1
CPTP	926	967	969	1172	1137	1018
TAS1R3	70	38	40	47	62	59
DVL1	2258	2266	2294	3917	3658	3365
MIR6808	3	3	3	4	4	6
MXRA8	194	197	184	294	235	254
AURKAIP1	2770	3023	3054	2771	2856	2513
CCNL2	2879	2937	2843	2747	2882	2772
MRPL20-AS1	536	578	574	526	536	556
MRPL20	1775	1863	1950	1745	1802	1723
LOC107984868	0	0	2	0	0	0
ANKRD65	0	4	2	0	0	0
ANKRD65-AS1	0	1	0	0	0	0
TMEM88B	0	2	0	0	0	0
LINC01770	1	4	3	4	4	3
LOC107985729	2	0	1	6	4	1
VWA1	1094	1165	1080	1027	963	884
ATAD3C	31	31	33	33	31	32
ATAD3B	181	208	205	173	232	188
ATAD3A	1252	1292	1180	1265	1439	1179
TMEM240	6	0	0	5	2	2
SSU72	4266	4740	4737	3962	3795	3603
FNDC10	419	397	399	378	370	389
LOC105378586	20	27	31	29	32	24
MIB2	671	660	651	515	535	429
MMP23B	49	78	73	53	54	61
CDK11B	1669	1865	1756	1432	1399	1317
SLC35E2B	2050	2067	1966	1611	1603	1562
MMP23A	4	9	5	2	5	5
CDK11A	1235	1323	1343	1037	970	891
SLC35E2A	757	749	750	609	703	557
LOC112268218	159	168	164	143	120	106
NADK	2059	2042	1982	1731	1815	1507
GNB1	14565	14403	14916	16500	16760	16232
GNB1-DT	6	3	6	4	5	1
CALML6	13	6	7	7	2	3
TMEM52	17	23	28	9	12	9
CFAP74	0	5	2	2	0	1
LOC107984872	0	0	0	0	0	0
LOC105378589	0	2	2	0	0	2
GABRD	11	22	20	14	6	4
LOC105378590	0	0	0	0	0	0
PRKCZ-DT	4	2	0	0	1	3
PRKCZ	585	636	553	449	466	499
PRKCZ-AS1	19	34	23	28	23	26
FAAP20	832	873	933	914	900	767
LOC112268219	92	116	83	102	85	105
LOC105378593	11	15	12	14	11	5
SKI	1660	1553	1541	4864	4531	4265
MORN1	174	156	186	177	173	177
LOC100129534	103	104	91	47	70	41
RER1	4210	4587	4471	3835	4187	4033
PEX10	1012	1048	1042	1111	1089	1047
PLCH2	44	41	36	49	47	44
PANK4	657	697	639	515	533	469
HES5	0	0	0	0	0	0
TNFRSF14-AS1	2	1	0	0	2	0
TNFRSF14	2	6	0	2	5	0
LOC100996583	0	1	0	0	1	0
PRXL2B	1094	1049	1065	951	856	898
MMEL1	140	132	106	102	83	90
MMEL1-AS1	2	4	0	0	2	0
TTC34	3	26	10	16	4	20
LOC105378603	0	0	0	0	0	0
