GENEID	Length
FBGN0250732	3958
FBTI0060344	89
FBGN0286036	216
FBGN0037409	2629
FBGN0027948	7590
FBGN0038675	844
FBGN0264900	366
FBGN0000500	569
FBGN0261504	299
FBGN0037610	1254
FBGN0053095	3581
FBGN0038070	1774
FBGN0267571	3391
FBGN0261859	6686
FBGN0262389	71
FBGN0037363	6303
FBGN0039552	649
FBGN0267797	901
FBGN0039732	654
FBGN0038224	720
FBGN0264776	846
FBGN0038525	1103
FBGN0262397	102
FBTI0019351	1963
FBTI0019410	746
FBGN0262899	491
FBGN0261436	1590
FBTI0063117	152
FBGN0262378	92
FBGN0038814	4319
FBGN0286871	498
FBGN0267809	2132
FBGN0038279	4074
FBGN0037625	7452
FBGN0053093	1055
FBTI0062189	90
FBTI0019436	9003
FBGN0051579	73
FBGN0027574	2302
FBGN0260746	2236
FBGN0037930	640
FBGN0038709	1413
FBGN0027095	847
FBTR0309605_DF_NRG	22
FBGN0051450	581
FBGN0038774	789
FBGN0037794	2006
FBGN0039229	4332
FBGN0065064	220
FBTI0019348	5029
FBGN0038737	991
FBGN0262431	56
FBTI0063768	57
FBGN0037399	1194
FBTI0019411	2647
FBTI0020393	1505
FBGN0039291	802
FBGN0037547	1976
FBGN0038966	1341
FBGN0037690	1727
FBTI0019321	1730
FBGN0038783	962
FBGN0011998	73
FBGN0038055	1746
FBGN0261453	122
FBGN0261792	687
FBGN0040606	408
FBGN0037709	1750
FBTI0059826	62
FBGN0051106	1676
FBTI0019291	1415
FBGN0039131	1923
FBGN0267686	671
FBTI0062552	272
FBTI0061858	61
FBGN0037777	770
FBGN0046685	2895
FBGN0259733	1540
FBGN0266388	911
FBTI0061730	251
FBGN0267561	885
FBGN0038993	1183
FBGN0262971	667
FBGN0039313	1607
FBGN0004395	6328
FBGN0051201	3444
FBGN0266674	2799
FBGN0267767	301
FBGN0039019	986
FBTI0062939	38
FBGN0039172	1694
RR46358_TRANSPOSABLE_ELEMENT	5097
FBGN0011290	1234
FBGN0262384	68
FBGN0283626	654
FBGN0267816	407
FBGN0037747	1506
FBGN0037751	2652
FBGN0039486	1130
FBGN0039228	927
FBGN0039073	1686
FBGN0040256	1671
FBGN0037888	898
FBGN0039404	657
FBGN0264905	546
FBGN0038342	881
FBGN0005674	5453
FBGN0266229	1275
FBGN0011768	1337
FBGN0265449	811
FBGN0037917	2383
FBGN0086365	2700
FBGN0017567	819
